STATION_ID,LONGNAME,LINES,ADDRESS,ADA,PKNRD,GTFS
1160,Clinton-Lake,"Green (Lake) Pink",540 W. Lake Street,1,0,41160
490,Grand/Milwaukee,Blue Line (O'Hare),502 N. Milwaukee Avenue,0,0,40490
1410,Chicago/Milwaukee,Blue Line,800 N. Milwaukee Avenue,0,0,41410
590,Damen/Milwaukee,Blue Line,1588 N. Damen Avenue,0,0,40590
570,California/Milwaukee,Blue Line (O'Hare),2211 N. California Avenue,0,0,40570
60,Belmont-O'Hare,Blue Line,3355 W. Belmont Avenue,0,0,40060
1330,Montrose-O'Hare,Blue Line,4600 W. Montrose Avenue,0,0,41330
1280,Jefferson Park,Blue Line,4917 N. Milwaukee Avenue,1,0,41280
1430,87th,Red Line,15 W. 87th Street,0,0,41430
240,79th,Red Line,15 W. 79th Street,1,0,40240
1230,47th-Dan Ryan,Red Line,220 W. 47th Street,1,0,41230
190,Sox-35th-Dan Ryan,Red Line,142 W. 35th Street,1,0,40190
1000,Cermak-Chinatown,Red Line,138 W. Cermak Road,0,0,41000
720,Cottage Grove-East 63rd,Green Line,800 E. 63rd Street,1,0,40720
1140,King Drive,Green Line,400 E. 63rd Street,1,0,41140
940,Halsted/63rd,Green Line,6321-25 S. Halsted Street,1,0,40940
290,Ashland/63rd,Green Line (Englewood),6315 S. Ashland Avenue,1,1,40290
1080,47th-South Elevated,Green Line,314 E. 47th Street,1,0,41080
410,Roosevelt/Wabash,Orange & Green Lines,22 E. Roosevelt Road,1,0,40410
890,O'Hare Airport,Blue Line,1000 O'Hare Drive,1,0,40890
770,Lawrence,Red Line,1117 W. Lawrence Avenue,0,0,40770
1320,Belmont-North Main,"Red Brown Purple (Express)",945 W. Belmont Avenue,1,0,41320
650,North/Clybourn,Red Line,1599 N. Clybourn Avenue,0,0,40650
1300,Loyola,Red Line,1200 W. Loyola Avenue,1,0,41300
400,Noyes,"Purple Line Evanston Express",901 W. Noyes Street,0,0,40400
900,Howard,"Red Yellow Purple Evanston Express",1649 W. Howard Street,1,1,40900
340,Berwyn,Red Line,1121 W. Berwyn Avenue,0,0,40340
1070,Kedzie-Lake,Green Line (Lake),3200 W. Lake Street,1,0,41070
100,Morse,Red Line,1358 W. Morse Avenue,0,0,40100
1450,Chicago/State,Red Line,800 N. State Street,1,0,41450
330,Grand/State,Red Line,521 N. State Street,0,0,40330
800,Sedgwick,"Brown Purple (Express)",1536-40 N. Sedgwick Avenue,1,0,40800
1010,Rockwell,Brown Line,4648 N. Rockwell Street,1,0,41010
920,Pulaski-Congress,Blue Line (Congress),530 S. Pulaski Road,0,0,40920
180,Oak Park-Congress,Blue Line,950 S. Oak Park Avenue,0,0,40180
